# label, type1, x1, y1, type2, x2, y2, ...
çëìπ210çÜ,0,-283532.97,-3700488.8,1,-283456.9,-3700451.8,1,-283333.44,-3700349.0,1,-283160.06,-3700211.2,1,-282855.84,-3700063.0
ï ï{àÍÇÃã{ê¸,0,-291348.38,-3700581.2,1,-291241.2,-3700603.8,1,-291095.44,-3700778.2,1,-291106.72,-3700965.5,1,-291141.7,-3701185.5,1,-290960.97,-3701140.0,1,-290798.94,-3701189.2,1,-290992.34,-3701732.2
ï ï{àÍÇÃã{ê¸,0,-284946.34,-3708171.8,1,-284525.47,-3708169.5,1,-284206.72,-3708206.2
ï ï{àÍÇÃã{ê¸,0,-287574.03,-3705929.0,1,-287312.44,-3705908.0,1,-287243.88,-3705778.5,1,-287113.06,-3705768.2
ã„èBâ°ífé©ìÆé‘ìπ,0,-278140.4,-3713684.0,1,-278326.62,-3713326.5,1,-278481.8,-3713028.5,1,-278668.06,-3712670.8,1,-278823.25,-3712372.8,1,-278940.06,-3712227.0,1,-279054.4,-3712111.8,1,-279323.16,-3712040.0,1,-279537.16,-3711994.8
ã„èBâ°ífé©ìÆé‘ìπ,0,-276786.56,-3715501.0,1,-276860.88,-3715227.8,1,-277065.78,-3714964.5,1,-277242.16,-3714730.2,1,-277327.9,-3714644.0,1,-277598.97,-3714541.2,1,-277777.8,-3714276.0,1,-277904.4,-3714006.8,1,-278140.4,-3713684.0
çëìπ210çÜ,0,-286539.7,-3703395.2,1,-286471.06,-3703265.8,1,-286499.72,-3703237.0,1,-286483.4,-3703111.5,1,-286436.03,-3703045.8,1,-286440.97,-3702984.0,1,-286419.72,-3702920.2
ï ï{àÍÇÃã{ê¸,0,-282584.47,-3708419.0,1,-282532.2,-3708415.0,1,-282426.06,-3708096.2,1,-282357.44,-3707966.8,1,-282307.6,-3707931.8,1,-282234.06,-3707864.0
ï ï{àÍÇÃã{ê¸,0,-290585.0,-3706137.5,1,-290637.3,-3706141.8,1,-290684.66,-3706207.8,1,-290784.34,-3706277.8,1,-290779.38,-3706339.2,1,-290593.75,-3706355.5,1,-290481.66,-3706439.8,1,-290400.7,-3706464.2,1,-290314.78,-3706550.5,1,-290262.44,-3706546.2
ï ï{àÍÇÃã{ê¸,0,-287113.06,-3705768.2,1,-287063.22,-3705733.2,1,-286932.4,-3705722.8
ï ï{àÍÇÃã{ê¸,0,-288936.84,-3706006.2,1,-288941.78,-3705944.5
ï ï{àÍÇÃã{ê¸,0,-289555.12,-3703883.2,1,-289464.25,-3704031.0,1,-289473.06,-3704249.0,1,-289389.6,-3704304.5,1,-289455.7,-3704465.0,1,-289524.28,-3704594.5,1,-289702.47,-3704670.8,1,-289721.2,-3704765.2,1,-289925.56,-3704843.8,1,-289944.28,-3704938.2
à¿êSâ@ìíïzâ@ê¸,0,-285258.62,-3714123.2,1,-285467.25,-3713916.5,1,-285525.06,-3713753.5,1,-285648.84,-3713685.8,1,-285678.97,-3713408.8,1,-285726.75,-3713338.2,1,-285691.72,-3713217.5,1,-285694.44,-3712954.0,1,-285577.75,-3712802.0,1,-285462.75,-3712628.2,1,-285403.66,-3712446.8,1,-285529.2,-3712062.5,1,-285445.75,-3711758.0,1,-285408.47,-3711665.2,1,-285424.5,-3711399.5,1,-285377.38,-3711265.5,1,-285078.6,-3710857.0,1,-285122.4,-3710606.0,1,-285046.53,-3710534.8,1,-284940.75,-3710213.0,1,-284859.84,-3710237.8,1,-284822.97,-3710172.8,1,-284827.78,-3710145.2,1,-284743.25,-3710116.8,1,-284575.53,-3709911.0,1,-284588.75,-3709778.8,1,-284530.5,-3709783.2,1,-284506.6,-3709983.0,1,-284490.06,-3710025.2,1,-284423.22,-3710038.5,1,-284419.78,-3709917.2,1,-284340.0,-3709796.2,1,-284327.53,-3709590.2,1,-284316.34,-3709434.2,1,-284294.03,-3709252.5,1,-284208.1,-3709208.5,1,-284230.66,-3709058.2,1,-284120.88,-3708950.2,1,-284129.66,-3708873.5,1,-284096.4,-3708861.5,1,-284091.75,-3708656.2,1,-284167.0,-3708538.2,1,-284203.66,-3708441.8,1,-284228.12,-3708366.2,1,-284297.22,-3708325.0,1,-284305.4,-3708288.5,1,-284206.72,-3708206.2
çëìπ210çÜ,0,-289662.12,-3706808.8,1,-289599.88,-3706928.0,1,-289461.62,-3707010.0
ï ï{àÍÇÃã{ê¸,0,-281327.1,-3707358.0,1,-281329.56,-3707327.0,1,-281279.72,-3707292.2,1,-281251.1,-3707321.0,1,-281134.22,-3707466.8,1,-280898.88,-3707448.2,1,-280846.56,-3707444.2,1,-280782.0,-3707594.2,1,-280755.84,-3707592.0,1,-280729.7,-3707590.0
ï ï{àÍÇÃã{ê¸,0,-280270.44,-3707740.0,1,-279980.38,-3707748.2,1,-279766.28,-3707793.2,1,-279549.75,-3707869.2
ï ï{àÍÇÃã{ê¸,0,-286523.75,-3705566.2,1,-286340.62,-3705551.8
çëìπ210çÜ,0,-287080.6,-3707813.8,1,-286885.12,-3707953.2,1,-286804.2,-3707977.8,1,-286783.0,-3707914.0
çëìπ210çÜ,0,-284543.75,-3700692.8,1,-284391.66,-3700618.8
ï ï{àÍÇÃã{ê¸,0,-281577.2,-3707191.5,1,-281610.72,-3707101.0,1,-281587.03,-3707068.2,1,-281560.88,-3707066.2,1,-281467.7,-3707245.0,1,-281462.75,-3707306.5,1,-281426.78,-3707427.8,1,-281312.34,-3707543.0,1,-281229.0,-3707598.5,1,-281200.38,-3707627.2
çëìπ210çÜ,0,-283585.3,-3700493.0,1,-283532.97,-3700488.8
ï ï{àÍÇÃã{ê¸,0,-283899.2,-3706785.5,1,-283841.97,-3706843.0,1,-283651.5,-3706921.0
ï ï{àÍÇÃã{ê¸,0,-284958.7,-3706373.0,1,-284701.1,-3706631.8,1,-284489.38,-3706646.0
çëìπ210çÜ,0,-286452.1,-3706460.5,1,-286545.38,-3706281.5,1,-286550.34,-3706220.0,1,-286555.28,-3706158.2,1,-286408.22,-3706022.5,1,-286387.0,-3705958.8,1,-286391.94,-3705897.0,1,-286492.66,-3705625.8,1,-286523.75,-3705566.2
ï ï{àÍÇÃã{ê¸,0,-284489.38,-3706646.0,1,-284199.22,-3706654.2,1,-283899.2,-3706785.5
çëìπ210çÜ,0,-285123.5,-3701018.0,1,-284947.7,-3700911.0,1,-284722.03,-3700769.0,1,-284543.75,-3700692.8
çëìπ210çÜ,0,-287020.78,-3705605.8,1,-287033.16,-3705451.5
ï ï{àÍÇÃã{ê¸,0,-283921.53,-3708152.5,1,-283550.5,-3708185.2
ï ï{àÍÇÃã{ê¸,0,-281621.25,-3707629.5,1,-281526.47,-3707497.8,1,-281510.16,-3707372.5,1,-281515.06,-3707310.8,1,-281577.2,-3707191.5
ï ï{àÍÇÃã{ê¸,0,-284206.72,-3708206.2,1,-284023.66,-3708191.8,1,-283973.8,-3708156.8,1,-283921.53,-3708152.5
ï ï{àÍÇÃã{ê¸,0,-289662.12,-3706808.8,1,-289599.88,-3706928.0,1,-289461.62,-3707010.0
çëìπ210çÜ,0,-286334.47,-3707599.2,1,-286302.94,-3707565.8,1,-286297.0,-3707410.0,1,-286330.56,-3707319.5
ï ï{àÍÇÃã{ê¸,0,-286783.0,-3707914.0,1,-286578.72,-3707835.8,1,-286312.22,-3707876.8,1,-286138.0,-3708080.0,1,-286033.4,-3708071.8
ï ï{àÍÇÃã{ê¸,0,-289919.53,-3702298.5,1,-289909.62,-3702421.8
ï ï{àÍÇÃã{ê¸,0,-288057.62,-3706463.8,1,-288010.25,-3706398.0,1,-287946.62,-3706206.8,1,-287828.22,-3706042.2,1,-287626.34,-3705933.0,1,-287574.03,-3705929.0
ï ï{àÍÇÃã{ê¸,0,-288085.94,-3705783.5,1,-288004.97,-3705808.0,1,-287981.28,-3705775.0,1,-287845.53,-3705826.2,1,-287892.9,-3705892.2,1,-287968.9,-3705929.2,1,-287935.3,-3706019.8,1,-288011.3,-3706056.8,1,-288117.34,-3706375.5,1,-288164.72,-3706441.2
ï ï{àÍÇÃã{ê¸,0,-286033.4,-3708071.8,1,-285740.78,-3708110.8,1,-285545.34,-3708250.2,1,-285291.25,-3708137.0,1,-285050.94,-3708180.0,1,-284946.34,-3708171.8
çëìπ210çÜ,0,-287801.62,-3707684.8,1,-287777.94,-3707651.8,1,-287552.44,-3707509.8,1,-287500.12,-3707505.8,1,-287307.12,-3707614.5,1,-287226.2,-3707639.0,1,-287137.84,-3707756.0,1,-287080.6,-3707813.8
